Date,Energy Select Sector SPDR Fund,WTI Crude Oil,Brent Crude Oil,barril
1998-12-22,23.265625,,,9.83
1998-12-23,23.75,,,9.91
1998-12-24,23.625,,,9.91
1998-12-28,23.5,,,
1998-12-29,23.734375,,,10.23
1998-12-30,23.375,,,10.45
1998-12-31,23.34375,,,10.54
1999-01-04,23.328125,,,10.94
1999-01-05,23.203125,,,10.3
1999-01-06,23.96875,,,10.67
1999-01-07,23.859375,,,11.08
1999-01-08,23.96875,,,11.7
1999-01-11,23.515625,,,12.07
1999-01-12,23.15625,,,11.78
1999-01-13,22.8125,,,10.9
1999-01-14,22.375,,,11.1
1999-01-15,22.71875,,,10.97
1999-01-19,22.71875,,,11.19
1999-01-20,22.53125,,,10.85
1999-01-21,22.71875,,,11.14
1999-01-22,22.59375,,,11.23
1999-01-25,22.5625,,,11.21
1999-01-26,22.34375,,,10.84
1999-01-27,21.9375,,,11.03
1999-01-28,21.8125,,,11.14
1999-01-29,21.8125,,,11.34
1999-02-01,21.59375,,,10.81
1999-02-02,21.625,,,10.39
1999-02-03,22.125,,,10.78
1999-02-04,22.25,,,10.42
1999-02-05,22.875,,,10.18
1999-02-08,23.1875,,,9.97
1999-02-09,22.75,,,9.77
1999-02-10,22.8125,,,9.88
1999-02-11,22.625,,,9.82
1999-02-12,22.15625,,,9.97
1999-02-16,22.0,,,9.98
1999-02-17,21.78125,,,10.09
1999-02-18,21.84375,,,9.93
1999-02-19,21.71875,,,10.29
1999-02-22,21.9375,,,10.24
1999-02-23,21.75,,,10.58
1999-02-24,21.65625,,,10.64
1999-02-25,21.765625,,,10.84
1999-02-26,21.625,,,10.58
1999-03-01,21.40625,,,10.52
1999-03-02,21.1875,,,10.41
1999-03-03,21.65625,,,10.81
1999-03-04,22.4375,,,11.2
1999-03-05,22.859375,,,11.02
1999-03-08,23.1875,,,11.49
1999-03-09,22.9375,,,11.25
1999-03-10,24.25,,,11.46
1999-03-11,24.59375,,,11.86
1999-03-12,24.5,,,12.3
1999-03-15,24.3125,,,12.17
1999-03-16,24.1875,,,12.11
1999-03-17,24.8125,,,12.95
1999-03-18,25.125,,,13.35
1999-03-19,24.78125,,,13.15
1999-03-22,24.9375,,,13.37
1999-03-23,24.5,,,13.64
1999-03-24,24.375,,,13.37
1999-03-25,24.4375,,,13.5
1999-03-26,24.75,,,13.97
1999-03-29,25.4375,,,14.34
1999-03-30,24.96875,,,14.5
