,ds,y
0,2014-01-02,107.94
1,2014-01-03,110.47
2,2014-01-06,107.94
3,2014-01-07,106.57
4,2014-01-08,107.42
5,2014-01-09,107.49
6,2014-01-10,106.71
7,2014-01-13,107.49
8,2014-01-14,106.44
9,2014-01-15,108.09
10,2014-01-16,107.46
11,2014-01-17,108.02
12,2014-01-22,109.69
13,2014-01-23,109.69
14,2014-01-24,108.01
15,2014-01-27,109.69
16,2014-01-28,109.14
17,2014-01-29,108.83
18,2014-01-30,109.36
19,2014-01-31,108.72
20,2014-02-03,109.36
21,2014-02-04,108.16
22,2014-02-05,106.81
23,2014-02-06,108.15
24,2014-02-07,106.55
25,2014-02-10,108.15
26,2014-02-11,110.12
27,2014-02-12,108.62
28,2014-02-13,108.98
29,2014-02-14,110.18
30,2014-02-19,110.37
31,2014-02-20,109.42
32,2014-02-21,109.03
33,2014-02-24,109.42
34,2014-02-25,109.03
35,2014-02-26,109.39
36,2014-02-27,108.54
37,2014-02-28,109.76
38,2014-03-03,108.54
39,2014-03-04,108.98
40,2014-03-05,108.15
41,2014-03-06,107.99
42,2014-03-07,111.26
43,2014-03-10,107.99
44,2014-03-11,109.14
45,2014-03-12,107.88
46,2014-03-13,107.48
47,2014-03-14,108.27
48,2014-03-17,107.48
49,2014-03-18,108.08
50,2014-03-19,105.95
51,2014-03-20,105.73
52,2014-03-21,106.99
53,2014-03-24,105.73
54,2014-03-25,107.2
55,2014-03-26,105.9
56,2014-03-27,106.58
57,2014-03-28,106.59
58,2014-03-31,106.58
59,2014-04-01,106.64
60,2014-04-02,103.37
61,2014-04-03,104.88
62,2014-04-04,105.95
63,2014-04-07,104.88
64,2014-04-08,106.41
65,2014-04-09,107.39
66,2014-04-10,107.1
67,2014-04-11,104.89
68,2014-04-14,107.1
69,2014-04-15,107.34
70,2014-04-16,109.71
71,2014-04-17,109.79
72,2014-04-21,109.79
73,2014-04-22,108.54
74,2014-04-23,108.48
75,2014-04-24,109.79
76,2014-04-25,109.69
77,2014-04-28,109.79
78,2014-04-29,109.53
79,2014-04-30,108.63
80,2014-05-01,108.63
81,2014-05-02,109.12
